topic_group,id,title,goal
Group_7,04b1b46477,Apple started using deep learning for face detection in iOS 10.,An On-device Deep Neural Network for Face Detection - Apple
Group_7,59c1e92411,Using deep learning to improve the iPhones facial detection utilizing only onn device information.,An On-device Deep Neural Network for Face Detection - Apple
Group_7,42dd1b3759,to use Machine learning algorithm and deep learning to detect and identify individual faces,An On-device Deep Neural Network for Face Detection - Apple
Group_7,6b9507b981,"Face ID's goal is to provide a secure means of unlocking your iPhone. It can also be used for purchasing items from iTunes Store, App Store, iBooks Store and for payments with Apple Pay, and to sign in to applications.",About Face ID advanced technology - Apple Support
Group_7,0c2758f61b,Self driving cars capable of out performing human pilots and reducing accidents on the road.,How Tesla's autopilot learns | Fortune
Group_7,0e2866f7f4,"To bring an efficient, smart, and reliable Auto-pilot to cars.",How Tesla's autopilot learns | Fortune
Group_7,d6b282634d,"The goal is that when something unexpected happens, ball rolls onto the street, the car can recognize the pattern and react accordingly (slow down because a child could be running into the street after it).",How Tesla's autopilot learns | Fortune
Group_7,e509926fbd,The goal is to identify the power and agency of female characters in movies.,Scientists Use Machine-learning to Analyze Language in Movies  | Technology Networks
Group_7,ba2c9688b6,To use machine learning to quantify how much power and agency a script in a movie gives a character,Scientists Use Machine-learning to Analyze Language in Movies  | Technology Networks
Group_7,beffb5d229,To analyse the significance of a character in a movie based upon their scripted dialogue.,Scientists Use Machine-learning to Analyze Language in Movies  | Technology Networks
Group_7,4f8fccc395,To create a system that could quantify the power and agency of characters in movies based on their dialogue and stage  directions.,Scientists Use Machine-learning to Analyze Language in Movies  | Technology Networks
Group_7,236297047e,Determine levels of agency and power in mover characters based on their script.,Scientists Use Machine-learning to Analyze Language in Movies  | Technology Networks
Group_7,f6839f7d30,To discern how much power and agency film scripts give to each of their characters., New tool quantifies power imbalance between female and male characters in Hollywood movie scripts  |  UW News 
Group_7,e3c7d31d42,To determine how much screen time women get in popular movies versus men.,Machine learning reveals lack of female screen time in top films | New Scientist
Group_7,f4a2e3df0c,"To implement facial recognition for the purposes of phone unlocking, photo categorising etc while maintaining a high degree of user privacy.",Apple details how it performs on-device facial detection in latest machine learning journal entry | 9to5Mac
Group_7,b2e34f0ec0,The goal is to create a facial detection system called face id to replace the industrys standard finger print sensor touch id.,"Apple's Face ID For iPhone X Uses Advanced Machine Learning & 30,000 Infrared Dots To Map Faces; Here's How It Works"
Group_7,37b1dd04c5,Wanted to to use photographic data to extract information from street signs to map new addresses.,Google Maps gets a dose of machine learning - Google Maps for Mobile
Group_7,2b5c68fa2f,The goal of Netflix was to improve their current success rate in predicting user ratings of certain films by 10%. This would improve the way that they recommended new content to users. The competition was open to the public to come up with such an algorithm with 1 million dollars offered to the first group to do so.,Why Netflix Never Implemented The Algorithm That Won The Netflix $1 Million Challenge | Techdirt
Group_7,79d8b8c9c3,"It uses neural networks to transform photographs of faces into very realistic alternate versions. The official website boasts that it can ""transform your face using artificial intelligence with just one tap"". The application allows the user to alter images to add a smile, change gender, look older, look younger and look ""more attractive"". The latter being the most controversial of all the filters.",FaceApp - Free Neural Face Transformation Filters
Group_7,6798d1862c,The goal is to have an autopilot that is reliable. A big factor in the way of that is the fact that machines have no moral compass. How can they make snap judgements on what is the best decision in the face of an accident.,Tesla Autopilot and artificial intelligence: The unfair advantage
Group_7,88064dae3d,: Building intelligence processor chips that are specifically designed to assist programmers in creating machine learning systems.,Machine learning startup Graphcore raises $50M in round led by Sequoia Capital - SiliconANGLE
Group_7,afd8a194e0,To develop an AI that can create a 3D face reconstruction using a single 2D image.,The AI that can turn any selfie into a 3D image | Daily Mail Online
Group_7,d78fabe890,Recognising gun in video.,New Machine Learning Program Recognizes Handguns in Even Low-Quality Video - Motherboard
Group_7,cfdc91d3b0,"To build and deploy a successful self-driving bus in Las Vegas, Nevada, USA.",Self-driving bus involved in crash less than two hours after Las Vegas launch | Technology | The Guardian
Group_7,739d340e37,to use machine learning and neural networks to detect security flaws in existing systems using past experiences,Microsoft applies machine learning to deliver 'neural fuzzing' vulnerability testing - SiliconANGLE
Group_7,a6ccc07f76,To use machine learning models to improve pictures automatically right after they've been captured. This requires a low computational cost from the model.,Google and MIT’s new machine learning algorithms retouch your photos before you take them - The Verge
